Generation,PopBest,PopAvg,BestOverall
0,43.54955,43.54955,43.54955
1,-53.17968,-53.17968,43.54955
2,58.20769,58.20769,58.20769
3,40.06586,40.06586,58.20769
4,202.3174,202.3174,202.3174
5,-20.4047,-20.4047,202.3174
6,58.52228,58.52228,202.3174
7,83.25982,83.25982,202.3174
8,-170.6342,-170.6342,202.3174
9,-792.1851,-792.1851,202.3174
10,-229.872,-229.872,202.3174
11,226.2216,226.2216,226.2216
12,739.67,739.67,739.67
13,-419.164,-419.164,739.67
14,16033.24,16033.24,16033.24
15,40.56161,40.56161,16033.24
16,-77.17635,-77.17635,16033.24
17,72.42508,72.42508,16033.24
18,934.8333,934.8333,16033.24
19,752.4966,752.4966,16033.24
20,1501.372,1501.372,16033.24
21,73.93831,73.93831,16033.24
22,-108.0001,-108.0001,16033.24
23,-255.7231,-255.7231,16033.24
24,-101.5313,-101.5313,16033.24

