Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,7212.488,-479.0455,278.7974,1426.1,7212.488
1,6996.397,-106.246,974.5057,2199.588,7212.488
2,6996.397,-102.3103,2947.531,3154.871,7212.488
3,7116.268,-79.1705,5825,2182.16,7212.488
4,17901.58,-232.9226,5792.976,3906.137,17901.58
5,18499.25,-108.997,9312.641,7096.446,18499.25
6,18692.11,-42.00692,11844.25,7506.004,18692.11
7,18692.11,-94.67681,12219.34,7552.415,18692.11
8,18692.11,-23.82866,14360.36,6303.708,18692.11
9,18692.09,-354.0945,13475.18,6753.993,18692.11
10,21020.78,-35.08636,14848.13,6817.036,21020.78
11,21060.73,-84.78117,12009.6,7813.13,21060.73
12,21406.07,-93.31181,11687.75,7820.903,21406.07
13,21456.09,-38.92559,11134.95,8806.741,21456.09
14,21517.43,-19.35339,14380.04,7808.657,21517.43
15,20875.02,-180.6354,11576.38,7891.751,21517.43
16,21517.43,-41.88604,15422.97,7497.233,21517.43
17,21406.07,-164.8167,11695.9,8137.211,21517.43
18,21630.69,-19.97792,15493.45,7676.02,21630.69
19,21517.43,-106.8588,16711.68,6666.875,21630.69
20,21174.26,-188.649,15452.85,6423.684,21630.69
21,21456.09,-42.17137,15368.66,6496.425,21630.69
22,21271.62,-25.53009,13556.56,7588.959,21630.69
23,21456.09,-87.56839,13742.15,7686.884,21630.69
24,21517.43,-19.13763,15232.27,7264.452,21630.69
25,21174.26,-29.43834,12103.45,8695.053,21630.69
26,21060.73,-187.7342,11577.2,8739.928,21630.69
27,21456.09,-167.7405,12180.64,8680.636,21630.69
28,21456.09,-19.62318,12085.67,8368.617,21630.69
29,21517.43,6597.933,16258.99,5890.759,21630.69
30,21456.09,-35.56558,13618,8475.479,21630.69
31,21661.12,-102.5014,15852.62,6559.418,21661.12
32,21517.43,-44.78564,15812.93,7063.256,21661.12
33,21431.4,-24.81121,12314.22,8280.805,21661.12
34,21661.12,-10.63289,16831.12,6555.522,21661.12
35,21870.11,-44.39314,13273.81,8076.621,21870.11
36,21642.47,-24.58356,14585.43,6715.292,21870.11
37,21500.75,-84.83416,15063.04,7606.323,21870.11
38,21721.81,-157.6855,14198.94,8628.349,21870.11
39,21817.46,-207.8382,11821.07,7813.409,21870.11
40,22402.01,-196.0937,15101.8,8314.168,22402.01
41,22548.34,-100.5631,16738.93,7315.381,22548.34
42,21587.28,-25.2303,16650.99,7183.074,22548.34
43,21642.47,-211.4211,13262.12,7480.385,22548.34
44,22143.56,-229.9243,16561.7,6812.027,22548.34
45,21642.47,-135.354,14019.35,7338.294,22548.34
46,22232.86,-21.34727,16544.65,7400.893,22548.34
47,21587.28,-91.05366,9040.652,7747.551,22548.34
48,21721.81,-44.43398,16676.33,6995.719,22548.34
49,21642.47,-188.4904,13401.43,9259.599,22548.34
50,21587.28,-235.74,14544.72,8470.976,22548.34
51,22402.01,-30.93146,15312.87,8350.821,22548.34
52,21587.28,-196.9085,13935.67,8493.224,22548.34
53,21642.47,-46.64117,12410,9359.234,22548.34
54,21587.28,-99.11621,13594.75,9270.593,22548.34
55,21587.28,-278.8693,13811.66,7462.933,22548.34
56,21587.28,-305.8621,12835.92,8736.641,22548.34
57,21721.81,-237.7544,14230.02,8975.383,22548.34
58,21642.47,-314.2125,14671.12,8549.001,22548.34
59,22232.86,-4.113688,13429.07,7835.089,22548.34
60,21587.28,-308.8444,12085.34,9060.424,22548.34
61,21587.28,-201.5615,17222.36,7490.759,22548.34
62,21587.28,-182.3439,13801.27,8158.619,22548.34
63,21587.28,-27.39877,14329.83,8364.639,22548.34
64,22709.23,5495.35,18806.13,4874.565,22709.23
65,21851.18,-209.3425,13023.5,8651.81,22709.23
66,21851.18,-311.5558,14460.26,8090.25,22709.23
67,21851.18,-32.22851,15031.82,7302.816,22709.23
68,21851.18,-147.0759,11517.89,8324.85,22709.23
69,21486.21,-225.3761,11246.17,8538.214,22709.23
70,21486.21,-34.35719,14383.37,8222.297,22709.23
71,21587.28,-22.09058,16553.11,7444.806,22709.23
72,21642.47,-144.421,9303.669,8792.511,22709.23
73,21587.28,-184.0374,12433.39,9105.101,22709.23
74,21587.28,-28.09604,13549.94,8125.397,22709.23

